domain,setting,lambda,OpenSet_AUROC,P@Cov20,P@Cov30,P@Cov40,P@Cov50,UnitViol@Cov20,UnitViol@Cov30,UnitViol@Cov40,UnitViol@Cov50
mimic-iv,语义排序 (无门控),-,93.03,84.0,70.27,52.0,41.94,0.0,5.56,4.44,7.41
mimic-iv,+ 确定性门控 (λ*=0.00),0.0,90.99,84.0,70.27,52.0,41.27,0.0,0.0,0.0,0.0
mimic-iii,语义排序 (无门控),-,89.95,93.13,83.59,68.46,56.13,1.65,1.12,2.6,3.89
mimic-iii,+ 确定性门控 (λ*=0.00),0.0,89.1,93.08,83.16,68.08,56.13,0.0,0.0,0.0,0.0
eicu,语义排序 (无门控),-,76.42,100.0,87.27,75.68,69.57,0.0,0.0,4.41,7.06
eicu,+ 确定性门控 (λ*=0.00),0.0,76.68,100.0,87.27,74.32,68.48,0.0,0.0,0.0,0.0
