domain,variant,Recall@1,dRecall@1,Precision,OpenSet_AUROC,dAUROC,paired_CI_lo,paired_CI_hi,kappa,n_fields,n_positive
mimic-iv,A graded re-rank (reorder only),91.84,-4.08,66.18,90.5,-0.47,-1.3,0.0,,132,49
mimic-iv,B graded reject (kappa on val),85.71,-10.2,68.85,89.8,-1.17,-5.71,2.95,0.11,132,49
mimic-iv,C graded abstention (ours),95.92,0.0,69.12,96.64,5.68,2.7,8.99,,132,49
mimic-iii,A graded re-rank (reorder only),93.24,-4.05,69.0,88.25,0.32,-0.35,1.06,,696,296
mimic-iii,B graded reject (kappa on val),90.2,-7.09,79.23,90.62,2.69,0.46,4.97,0.11,696,296
mimic-iii,C graded abstention (ours),97.3,0.0,72.0,93.57,5.65,4.03,7.24,,696,296
eicu,A graded re-rank (reorder only),85.53,-2.63,82.8,83.98,-0.41,-0.84,-0.12,,244,152
eicu,B graded reject (kappa on val),82.89,-5.26,86.3,82.53,-1.86,-4.41,0.58,0.11,244,152
eicu,C graded abstention (ours),88.16,0.0,85.35,85.04,0.65,-1.48,2.76,,244,152
