method,domain,Recall@1,Recall@5,Recall@10,Precision,Recall,F1,Coverage,UnitViolRate,OpenSet_AUROC,n_fields,n_positive,n_unknown
Direct-LLM (无门控),mimic-iv,95.92,95.92,95.92,69.12,95.92,80.34,51.52,0.0,88.55,132,49,83
Direct-LLM + 确定性门控,mimic-iv,87.76,87.76,87.76,68.25,87.76,76.79,47.73,0.0,88.32,132,49,83
Direct-LLM (无门控),mimic-iii,97.3,97.97,97.97,72.0,97.3,82.76,57.47,0.54,86.12,696,296,400
Direct-LLM + 确定性门控,mimic-iii,94.59,95.27,95.27,71.98,94.59,81.75,55.89,0.0,86.61,696,296,400
Direct-LLM (无门控),eicu,88.16,88.82,88.82,85.35,88.16,86.73,64.34,0.68,85.07,244,152,92
Direct-LLM + 确定性门控,eicu,83.55,84.21,84.21,86.39,83.55,84.95,60.25,0.0,85.27,244,152,92
